design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
675.0,350.0,1.601541,0.005814,1.0,0.688444,0.010522,0.0,3.460259,0.291198,1.0,9480.153284,13.810789,1.0
675.0,400.0,1.584099,0.005814,1.0,0.688444,0.010522,0.0,4.333853,0.291198,1.0,9480.153284,13.810789,1.0
675.0,450.0,1.572471,0.005814,1.41,0.688444,0.010522,0.0,4.625051,0.291198,1.0,9438.720918,13.810789,1.0
675.0,500.0,1.560843,0.005814,2.0,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9438.720918,13.810789,1.0
675.0,550.0,1.543402,0.005814,1.0,0.688444,0.010522,0.0,5.789843,0.291198,1.41,9397.288552,13.810789,1.41
675.0,600.0,1.537588,0.005814,0.0,0.663192,0.010522,0.0,6.372239,0.291198,0.0,9355.856186,13.810789,1.41
675.0,650.0,1.206192,0.005814,1.0,0.63794,0.010522,0.0,44.519166,0.291198,1.0,12573.769939,13.810789,0.0
675.0,700.0,1.089913,0.005814,1.41,0.612688,0.010522,0.0,50.051927,0.291198,1.41,12573.769939,13.810789,0.0
675.0,750.0,0.950378,0.005814,1.0,0.562184,0.010522,0.0,56.167083,0.291198,1.0,12573.769939,13.810789,0.0
675.0,800.0,0.80503,0.005814,0.0,0.511681,0.010522,0.0,63.155833,0.291198,0.0,12573.769939,13.810789,0.0
700.0,250.0,1.648053,0.005814,1.41,0.711591,0.010522,0.0,2.00427,0.291198,1.0,9632.071959,13.810789,1.41
700.0,300.0,1.630611,0.005814,1.41,0.711591,0.010522,0.0,2.877864,0.291198,0.0,9604.450382,13.810789,1.41
700.0,350.0,1.613169,0.005814,1.41,0.711591,0.010522,0.0,3.460259,0.291198,1.0,9563.018016,13.810789,1.41
700.0,400.0,1.607355,0.005814,1.0,0.688444,0.010522,0.0,3.751457,0.291198,0.0,9549.207227,13.810789,1.0
700.0,450.0,1.589913,0.005814,1.41,0.688444,0.010522,0.0,4.625051,0.291198,1.0,9549.207227,13.810789,1.41
700.0,500.0,1.572471,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9507.774861,13.810789,1.41
700.0,550.0,1.566657,0.005814,1.41,0.688444,0.010522,0.0,5.789843,0.291198,1.41,9480.153284,13.810789,1.0
700.0,600.0,1.55503,0.005814,1.41,0.688444,0.010522,0.0,6.081041,0.291198,1.0,9480.153284,13.810789,1.0
700.0,650.0,1.27596,0.005814,1.41,0.663192,0.010522,0.0,41.315989,0.291198,1.0,12573.769939,13.810789,0.0
