fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,475.0,300.0,truth,fuel_mileage_lb_per_nmi,1.4820633185630712,paper,1.449867,0.044826,0.03219631856307115,0.022206394492095584,0.07382334,True
5,475.0,350.0,truth,fuel_mileage_lb_per_nmi,1.45944643874048,paper,1.449867,0.044826,0.00957943874047995,0.006607115508167267,0.07382334,True
5,475.0,400.0,truth,fuel_mileage_lb_per_nmi,1.2580456258802395,paper,1.249643,0.041838,0.008402625880239434,0.006724021084613312,0.06683086,True
5,475.0,450.0,truth,fuel_mileage_lb_per_nmi,1.0875884157510853,paper,1.151026,0.044826,-0.06343758424891477,-0.05511394551375448,0.06784652,True
5,475.0,500.0,truth,fuel_mileage_lb_per_nmi,0.9097637639151258,paper,0.947814,0.044826,-0.038050236084874234,-0.04014525643731179,0.064826,True
5,475.0,550.0,truth,fuel_mileage_lb_per_nmi,0.7165452435301151,paper,0.75058,0.044826,-0.034034756469884964,-0.04534460879571127,0.064826,True
5,475.0,600.0,truth,fuel_mileage_lb_per_nmi,0.5043293817113796,paper,0.550357,0.041838,-0.04602761828862034,-0.08363229374500614,0.061838000000000004,True
5,475.0,650.0,truth,fuel_mileage_lb_per_nmi,0.26802478762173937,paper,0.350133,0.044826,-0.08210821237826066,-0.23450578031279729,0.064826,False
5,475.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0018890568770017452,paper,0.054281,0.041838,-0.05239194312299826,-0.9651985616145292,0.061838000000000004,True
5,475.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0017770217778789762,paper,0.054281,0.041838,-0.05250397822212103,-0.9672625453127435,0.061838000000000004,True
5,475.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0016900509277803855,paper,0.054281,0.041838,-0.05259094907221962,-0.9688647790611745,0.061838000000000004,True
5,500.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5290006014201405,paper,1.551472,0.044826,-0.02247139857985947,-0.014483921449990377,0.07585544,True
5,500.0,300.0,truth,fuel_mileage_lb_per_nmi,1.5009191805492228,paper,1.551472,0.044826,-0.050552819450777164,-0.03258377814796346,0.07585544,True
5,500.0,350.0,truth,fuel_mileage_lb_per_nmi,1.4777643187598377,paper,1.449867,0.044826,0.027897318759837697,0.01924129507040142,0.07382334,True
5,500.0,400.0,truth,fuel_mileage_lb_per_nmi,1.3354823260313102,paper,1.348261,0.044826,-0.012778673968689702,-0.009477893352021384,0.07179121999999999,True
5,500.0,450.0,truth,fuel_mileage_lb_per_nmi,1.1811884306850933,paper,1.249643,0.041838,-0.06845456931490679,-0.05477930042012542,0.06683086,False
5,500.0,500.0,truth,fuel_mileage_lb_per_nmi,1.0144972702008095,paper,1.04942,0.044826,-0.03492272979919053,-0.0332781248682039,0.0658144,True
5,500.0,550.0,truth,fuel_mileage_lb_per_nmi,0.8387359243653443,paper,0.852186,0.044826,-0.013450075634655723,-0.015783028158941503,0.064826,True
5,500.0,600.0,truth,fuel_mileage_lb_per_nmi,0.6466416426559248,paper,0.648974,0.044826,-0.00233235734407522,-0.0035939149242885226,0.064826,True
5,500.0,650.0,truth,fuel_mileage_lb_per_nmi,0.43491700403233596,paper,0.451739,0.044826,-0.01682199596766404,-0.03723830788943181,0.064826,True
5,500.0,700.0,truth,fuel_mileage_lb_per_nmi,0.19723738997730147,paper,0.248528,0.044826,-0.051290610022698524,-0.20637759134865497,0.064826,True
5,500.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0018771257399016856,paper,0.054281,0.041838,-0.052403874260098314,-0.9654183648071758,0.061838000000000004,True
5,500.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0017758199286189076,paper,0.054281,0.041838,-0.052505180071381094,-0.9672846865640112,0.061838000000000004,True
5,525.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5450015136266648,paper,1.551472,0.044826,-0.006470486373335138,-0.004170546663642746,0.07585544,True
5,525.0,300.0,truth,fuel_mileage_lb_per_nmi,1.519452183066567,paper,1.551472,0.044826,-0.03201981693343292,-0.020638346636892527,0.07585544,True
5,525.0,350.0,truth,fuel_mileage_lb_per_nmi,1.4957525272085694,paper,1.551472,0.044826,-0.055719472791430524,-0.035913940304066416,0.07585544,True
5,525.0,400.0,truth,fuel_mileage_lb_per_nmi,1.4207433277463297,paper,1.449867,0.044826,-0.029123672253670296,-0.0200871336844485,0.07382334,True
5,525.0,450.0,truth,fuel_mileage_lb_per_nmi,1.2634380031097974,paper,1.249643,0.041838,0.01379500310979731,0.011039155270583125,0.06683086,True
5,525.0,500.0,truth,fuel_mileage_lb_per_nmi,1.1096808750682672,paper,1.151026,0.044826,-0.041345124931732924,-0.035920235452312044,0.06784652,True
5,525.0,550.0,truth,fuel_mileage_lb_per_nmi,0.9469659984152693,paper,0.947814,0.044826,-0.0008480015847307509,-0.0008946919804210013,0.064826,True
5,525.0,600.0,truth,fuel_mileage_lb_per_nmi,0.7721003997533361,paper,0.852186,0.044826,-0.08008560024666389,-0.09397666735508901,0.064826,False
5,525.0,650.0,truth,fuel_mileage_lb_per_nmi,0.5804610734506144,paper,0.648974,0.044826,-0.06851292654938568,-0.10557114237147508,0.064826,False
5,525.0,700.0,truth,fuel_mileage_lb_per_nmi,0.3683251901401806,paper,0.451739,0.044826,-0.08341380985981939,-0.1846504505030989,0.064826,False
5,525.0,750.0,truth,fuel_mileage_lb_per_nmi,0.1271902989352624,paper,0.14991,0.041838,-0.022719701064737585,-0.15155560712919477,0.061838000000000004,True
5,525.0,800.0,truth,fuel_mileage_lb_per_nmi,0.00186759330724635,paper,0.054281,0.041838,-0.052413406692753656,-0.965593977501403,0.061838000000000004,True
5,550.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5609279656023602,paper,1.551472,0.044826,0.009455965602360283,0.0060948348422403265,0.07585544,True
5,550.0,300.0,truth,fuel_mileage_lb_per_nmi,1.5377442068177039,paper,1.551472,0.044826,-0.01372779318229611,-0.008848237791140356,0.07585544,True
5,550.0,350.0,truth,fuel_mileage_lb_per_nmi,1.5134912290141114,paper,1.551472,0.044826,-0.03798077098588859,-0.024480474662700064,0.07585544,True
5,550.0,400.0,truth,fuel_mileage_lb_per_nmi,1.4958674933784466,paper,1.551472,0.044826,-0.05560450662155336,-0.03583983895394397,0.07585544,True
5,550.0,450.0,truth,fuel_mileage_lb_per_nmi,1.3363371289420207,paper,1.348261,0.044826,-0.011923871057979207,-0.008843889319634113,0.07179121999999999,True
5,550.0,500.0,truth,fuel_mileage_lb_per_nmi,1.1963282863013125,paper,1.249643,0.041838,-0.053314713698687566,-0.042663955784722166,0.06683086,True
5,550.0,550.0,truth,fuel_mileage_lb_per_nmi,1.0434999496625965,paper,1.04942,0.044826,-0.005920050337403504,-0.005641259302665762,0.0658144,True
5,550.0,600.0,truth,fuel_mileage_lb_per_nmi,0.883628964097026,paper,0.947814,0.044826,-0.06418503590297409,-0.06771902071817264,0.064826,True
5,550.0,650.0,truth,fuel_mileage_lb_per_nmi,0.7091209738264433,paper,0.75058,0.044826,-0.04145902617355668,-0.05523598573577324,0.064826,True
